,Pco2,PH,year,H+,OH-,H2CO3,HCO3,CO3,fraction of Fe3+,fraction of FeOH 2+,fraction of FeOH2 +,fraction of FeOH4 -,fraction of Cu 2+,fraction of CuOH +,fraction of CuOH2,fraction of CuOH3 -,fraction of CuOH4 2-,fraction of CuCO3,fraction of CuHCO3 +,fraction of Cu(CO3)2 2-
0,315.4760525,8.65321612,1959,2.22E-09,4.50E-06,9.55E-06,0.002152889,4.86E-05,6.50E-12,1.89E-05,33.05747747,66.94250365,0.284532588,4.049003331,3.635500881,0.008199368,4.65E-07,81.35229362,0.038650372,10.63181938
1,316.306092,8.652074962,1960,2.23E-09,4.49E-06,9.57E-06,0.002153133,4.84E-05,6.56E-12,1.90E-05,33.17387642,66.82610458,0.285352582,4.050016267,3.62686783,0.008158432,4.61E-07,81.38186277,0.038766149,10.60897551
2,317.1614527,8.65090212,1961,2.23E-09,4.48E-06,9.60E-06,0.002153383,4.83E-05,6.62E-12,1.91E-05,33.29372181,66.70625907,0.286197642,4.051055299,3.618014401,0.008116568,4.57E-07,81.41219389,0.038885469,10.58553627
3,318.0421348,8.649697858,1962,2.24E-09,4.46E-06,9.63E-06,0.002153639,4.82E-05,6.68E-12,1.92E-05,33.417003,66.58297775,0.287067775,4.052120026,3.608944132,0.008073801,4.54E-07,81.44327536,0.039008331,10.56151012
4,318.9481383,8.648462447,1963,2.25E-09,4.45E-06,9.66E-06,0.002153901,4.80E-05,6.74E-12,1.94E-05,33.54370887,66.45627176,0.287962983,4.053210044,3.599660619,0.008030156,4.50E-07,81.47509536,0.039134738,10.53690565
5,319.879463,8.64719616,1964,2.25E-09,4.44E-06,9.68E-06,0.002154169,4.79E-05,6.81E-12,1.95E-05,33.6738278,66.3261527,0.288883271,4.054324939,3.590167512,0.007985661,4.46E-07,81.50764186,0.03926469,10.51173162
6,320.836109,8.645899277,1965,2.26E-09,4.42E-06,9.71E-06,0.002154443,4.78E-05,6.87E-12,1.96E-05,33.80734768,66.19263268,0.289828644,4.055464291,3.580468515,0.007940341,4.42E-07,81.54090267,0.039398187,10.48599691
7,321.8180764,8.644572084,1966,2.27E-09,4.41E-06,9.75E-06,0.002154722,4.76E-05,6.94E-12,1.98E-05,33.94425586,66.05572436,0.290799105,4.056627677,3.570567379,0.007894222,4.38E-07,81.57486541,0.039535231,10.45971054
8,322.8253651,8.643214867,1967,2.27E-09,4.40E-06,9.78E-06,0.002155007,4.75E-05,7.02E-12,1.99E-05,34.08453918,65.91544089,0.29179466,4.057814664,3.560467899,0.00784733,4.34E-07,81.60951754,0.039675823,10.43288165
9,323.8579751,8.641827922,1968,2.28E-09,4.38E-06,9.81E-06,0.002155297,4.74E-05,7.09E-12,2.01E-05,34.22818393,65.771796,0.292815313,4.059024817,3.550173915,0.007799694,4.30E-07,81.64484636,0.039819963,10.4055195
10,324.9159064,8.640411545,1969,2.29E-09,4.37E-06,9.84E-06,0.002155592,4.72E-05,7.17E-12,2.02E-05,34.37517585,65.62480393,0.293861068,4.060257695,3.539689302,0.007751338,4.26E-07,81.68083905,0.039967653,10.37763347
11,325.999159,8.638966038,1970,2.30E-09,4.35E-06,9.88E-06,0.002155893,4.71E-05,7.25E-12,2.04E-05,34.5255001,65.47447952,0.29493193,4.06151285,3.529017972,0.007702291,4.22E-07,81.71748262,0.040118893,10.34923302
12,327.107733,8.637491707,1971,2.30E-09,4.34E-06,9.91E-06,0.002156198,4.69E-05,7.33E-12,2.05E-05,34.67914128,65.32083818,0.296027904,4.062789834,3.518163868,0.007652578,4.18E-07,81.754764,0.040273684,10.32032772
13,328.2416282,8.63598886,1972,2.31E-09,4.33E-06,9.95E-06,0.002156509,4.67E-05,7.41E-12,2.07E-05,34.83608339,65.1638959,0.297148994,4.064088192,3.507130963,0.007602227,4.14E-07,81.79266997,0.040432028,10.29092721
14,329.4008448,8.634457809,1973,2.32E-09,4.31E-06,9.99E-06,0.002156824,4.66E-05,7.50E-12,2.09E-05,34.99630986,65.00366927,0.298295204,4.065407466,3.495923253,0.007551265,4.10E-07,81.83118723,0.040593925,10.26104124
15,330.5853827,8.632898871,1974,2.33E-09,4.29E-06,1.00E-05,0.002157144,4.64E-05,7.59E-12,2.10E-05,35.15980346,64.84017549,0.29946654,4.066747196,3.484544759,0.007499718,4.05E-07,81.87030239,0.040759376,10.23067961
16,331.7952419,8.631312364,1975,2.34E-09,4.28E-06,1.01E-05,0.002157469,4.63E-05,7.68E-12,2.12E-05,35.3265464,64.67343238,0.300663005,4.068106918,3.472999517,0.007447613,4.01E-07,81.91000197,0.040928382,10.1998522
17,333.0304224,8.62969861,1976,2.35E-09,4.26E-06,1.01E-05,0.002157798,4.61E-05,7.78E-12,2.14E-05,35.49652021,64.50345839,0.301884605,4.069486165,3.461291583,0.007394976,3.97E-07,81.95027241,0.041100944,10.16856892
